cust_id,gender,age,marital,country,income,education,occupation,adoption
101752,1,20,0,19,3,12,0,0
101753,1,39,5,19,4,11,2,0
101754,0,45,1,19,3,9,3,1
101755,0,38,1,19,4,12,3,1
101756,1,30,0,12,4,12,3,0
101757,0,52,3,19,4,13,4,0
101758,0,26,1,19,4,10,5,0
101759,1,21,0,19,3,9,1,0
101760,0,28,0,19,5,10,1,0
101761,0,23,0,19,4,10,8,0
101762,1,17,0,19,4,6,11,0
101763,0,50,1,19,3,14,0,1
101764,1,46,2,19,4,13,2,1
101765,0,71,1,19,4,9,10,0
101766,1,34,0,19,3,12,2,0
101768,0,29,1,19,2,12,8,0
101769,0,41,1,19,1,9,5,1
101770,1,39,0,19,4,12,4,0
101771,0,48,1,19,2,13,8,0
101772,0,23,0,19,4,10,1,0
101773,1,32,1,19,2,13,3,1
101774,1,47,0,19,3,14,0,0
101775,0,24,0,19,5,13,2,0
101776,0,43,1,19,2,9,7,0
101778,1,17,0,19,4,6,4,0
101779,0,32,2,19,4,9,1,0
101780,0,31,1,14,5,12,3,1
101781,0,35,1,19,1,14,3,1
101782,0,54,1,19,4,9,3,1
101784,1,34,4,19,2,14,0,0
101785,0,21,0,19,5,9,6,0
101786,1,34,2,19,4,12,4,0
101787,1,37,0,19,3,10,2,0
101788,0,18,0,19,2,6,4,0
101789,0,56,0,19,5,14,1,0
101790,1,38,1,15,2,4,7,1
101792,1,46,1,19,4,12,5,0
101793,0,38,1,19,2,13,0,1
101794,1,39,0,19,4,11,12,0
101795,0,33,3,17,4,12,8,0
101796,0,33,0,19,4,12,0,0
101797,0,52,1,19,4,13,0,0
101798,0,43,1,19,3,9,3,1
101799,0,59,2,12,4,9,0,0
101800,0,45,1,19,3,10,8,1
101801,0,44,1,19,4,12,3,1
101802,1,51,4,19,4,13,2,0
101803,0,33,1,19,1,7,3,0
101804,1,32,2,19,4,11,7,0
101805,0,36,1,19,4,9,3,0
101806,1,37,2,17,3,9,10,0
101807,1,35,1,19,3,12,2,0
101808,0,43,1,19,1,12,5,0
101809,0,41,2,19,2,12,8,0
101810,0,27,0,18,4,9,4,0
101811,0,38,1,19,4,9,8,0
101812,1,42,0,19,2,11,10,0
101813,0,54,1,19,3,12,8,1
101814,0,29,0,19,4,13,12,0
101815,0,27,0,19,3,9,8,0
101816,0,44,1,19,1,13,3,1
101817,1,46,2,19,4,16,0,1
101818,1,48,2,19,5,12,2,0
101819,0,38,1,19,4,9,8,0
101820,0,62,0,19,4,13,5,0
101821,0,39,1,19,4,12,8,1
101823,0,45,1,19,4,13,3,1
101824,0,40,1,19,4,13,1,1
101825,1,52,2,19,1,9,2,0
101826,0,43,1,19,4,11,3,1
101827,0,31,1,19,4,6,8,0
101828,0,53,1,19,1,12,6,1
101829,0,31,1,18,5,13,7,0
101830,0,29,0,19,4,13,3,0
101831,0,46,1,19,1,15,3,1
101832,0,43,1,19,5,10,8,0
101833,0,48,1,19,4,9,8,1
101834,1,41,1,19,2,12,6,0
101835,1,25,0,17,3,15,0,0
101836,1,64,4,19,4,11,0,1
101837,0,26,1,19,4,9,7,1
101838,0,45,2,19,4,14,3,1
101839,1,27,0,19,4,16,2,0
101840,0,66,1,19,2,12,10,0
101841,0,33,1,19,4,5,7,0
101842,0,19,0,19,4,12,10,0
101843,1,53,0,19,3,13,0,0
101844,0,56,1,13,2,4,8,0
101847,1,45,4,19,4,7,2,0
101848,0,51,1,19,2,9,8,0
101849,0,31,1,19,4,9,1,0
101850,1,51,4,18,4,3,7,0
101851,1,54,3,19,4,9,3,0
101852,1,31,0,19,4,13,2,0
101853,1,24,0,19,5,13,0,0
101854,0,33,1,19,4,9,8,1
101855,0,23,1,19,1,12,7,0
101856,1,70,5,19,4,12,1,0
101857,1,43,2,19,2,12,11,0
101858,0,49,1,14,4,10,0,1
101859,0,35,1,19,3,9,7,1
101860,0,57,1,19,4,6,8,0
101861,0,44,1,19,2,16,0,0
101862,1,56,1,19,2,9,1,0
101863,0,51,1,19,3,15,0,1
101864,1,23,0,19,4,13,3,0
101865,0,55,1,19,4,9,6,1
101866,1,22,0,19,5,9,4,0
101867,0,30,0,17,4,9,8,0
101868,1,43,0,13,2,5,1,0
101870,0,27,0,19,3,9,6,0
101871,0,25,0,19,3,5,8,0
101872,0,55,1,19,3,7,3,0
101873,1,19,0,19,5,9,10,0
101874,1,23,0,19,4,12,2,0
101875,1,22,0,19,4,9,4,0
101876,1,26,0,19,4,13,0,0
101878,0,42,1,8,3,16,0,1
101879,1,44,2,19,2,12,2,0
101880,0,34,1,19,5,12,8,0
101882,0,53,1,19,3,4,7,0
101883,1,48,2,19,3,13,1,0
101884,0,37,2,19,4,9,8,0
101885,1,39,1,19,5,15,3,1
101886,0,17,0,19,2,6,4,0
101887,1,68,5,17,4,4,10,0
101888,1,23,1,19,3,12,1,0
101889,0,29,1,19,4,13,1,1
101890,1,19,0,19,2,9,1,0
101891,0,47,1,19,4,9,8,1
101892,0,48,1,19,5,9,2,1
101893,0,27,0,19,3,12,8,0
101894,0,42,1,19,1,13,1,0
101895,1,58,5,19,4,7,4,0
101896,1,20,0,19,4,12,2,0
101897,0,34,1,19,4,9,11,0
101898,1,47,3,16,4,12,3,0
101899,0,60,1,19,2,4,1,0
101901,0,25,1,19,5,12,1,0
101902,0,24,1,19,4,12,7,0
101903,1,22,0,19,4,12,1,0
101904,0,39,1,19,3,9,8,0
101905,1,19,0,19,4,12,4,0
101906,1,29,1,19,2,12,2,1
101907,0,56,0,19,4,13,3,1
101908,0,19,0,19,5,9,8,0
101909,1,44,0,19,2,14,0,0
101910,0,53,1,19,4,9,4,0
101911,0,22,0,19,5,9,7,0
101912,1,62,0,19,3,12,8,1
101913,0,71,4,19,5,12,1,0
101914,0,63,1,19,1,13,10,1
101915,1,31,1,18,4,9,10,0
101916,0,41,1,19,4,13,3,1
101917,0,49,1,19,4,12,8,1
101918,0,58,1,19,4,9,8,0
101919,0,36,2,19,5,6,8,0
101920,0,34,2,19,4,9,8,0
101921,1,25,0,7,5,13,4,0
101922,0,62,1,19,3,8,8,1
101923,0,23,0,19,4,12,14,0
101924,1,26,0,19,4,13,2,1
101925,1,23,0,19,4,9,4,0
101926,0,20,0,19,3,12,4,0
101927,1,25,0,19,4,12,3,0
101928,0,39,1,19,4,9,8,0
101929,0,36,0,19,4,9,7,0
101930,1,36,0,19,4,9,8,0
101931,1,51,4,19,2,11,4,0
101932,0,51,1,19,4,9,10,0
101934,1,17,0,19,4,7,1,0
101935,0,38,1,19,3,15,0,1
101936,0,27,0,19,4,13,3,0
101937,0,59,1,19,4,11,8,1
101938,1,36,0,19,4,9,1,0
101939,0,38,2,19,4,9,7,0
101940,0,22,0,19,4,12,10,0
101941,0,27,0,19,4,9,8,0
101942,0,27,0,19,5,13,0,0
101943,1,53,0,19,3,12,11,0
101944,1,46,4,19,3,5,7,0
101945,1,24,4,19,3,12,1,0
101946,1,28,0,19,5,14,0,1
101947,0,48,1,19,3,5,8,0
101948,1,27,0,19,3,13,0,0
101949,1,50,2,19,4,9,1,0
101950,1,24,0,19,4,9,2,0
101952,0,55,1,19,3,15,3,1
101953,1,33,0,19,2,13,0,0
101954,1,22,0,19,5,9,2,0
101955,0,33,1,19,4,9,6,0
101956,1,17,0,16,4,7,0,0
101957,0,25,0,17,4,9,6,0
101958,0,50,3,19,1,13,0,0
101959,0,62,0,19,2,9,8,0
101960,0,32,4,17,4,9,3,0
101961,0,23,1,19,2,13,4,0
101962,1,45,2,19,4,12,1,0
101963,0,39,1,19,4,12,5,0
101964,0,47,1,19,2,4,6,0
101965,0,38,2,19,5,5,8,0
101966,0,28,1,19,1,12,2,1
101967,1,63,1,19,2,9,6,0
101968,0,30,1,11,4,12,3,1
101969,0,34,1,19,4,13,3,1
101970,1,30,2,19,1,12,12,0
101972,0,53,1,19,4,16,0,1
101973,0,30,0,19,5,16,0,0
101974,0,34,1,19,1,9,5,0
101975,1,41,2,19,1,9,4,0
101976,0,35,0,18,4,3,8,0
101977,1,36,0,19,4,12,8,0
101978,0,46,1,19,5,12,6,1
101979,0,24,0,19,4,13,3,0
101981,0,18,0,19,4,12,4,0
101982,1,60,2,19,4,11,4,0
101983,0,43,1,19,4,13,1,1
101984,0,21,0,19,3,9,5,0
101985,0,25,0,19,4,11,5,0
101986,0,51,1,19,2,9,8,0
101988,0,33,1,19,3,15,0,1
101989,0,59,0,19,4,4,4,0
101991,0,38,1,19,4,6,7,1
101992,0,25,0,19,4,9,4,0
101993,0,39,0,19,4,13,3,0
101994,1,63,2,19,3,9,3,0
101995,1,25,0,19,3,12,4,0
101996,0,29,1,19,3,9,8,0
101997,0,17,0,19,3,6,4,0
101998,0,26,1,17,5,12,1,0
101999,0,49,1,19,2,10,8,0
102000,1,43,3,19,5,9,3,0
102001,1,41,2,19,1,12,3,0
102002,0,60,1,13,3,4,7,0
102003,0,61,1,19,3,9,7,0
102004,0,44,1,19,4,9,8,0
102005,0,29,1,19,3,9,8,0
102006,1,49,2,19,3,9,4,0
102007,1,57,5,19,4,9,8,0
102009,0,41,1,19,3,9,8,1
102010,1,34,2,19,4,9,13,0
102011,0,90,1,19,4,13,3,0
102012,1,26,0,13,5,13,3,0
102013,0,73,1,19,4,13,10,0
102014,0,35,1,17,2,4,7,1
102015,0,61,1,19,5,9,11,0
102016,0,27,2,19,4,9,8,0
102017,0,64,0,19,2,5,2,0
102018,0,33,2,19,4,12,1,0
102019,1,47,1,19,4,13,3,1
102020,0,71,5,19,4,1,8,0
102021,0,28,1,19,2,9,8,0
102022,0,38,1,19,1,13,0,1
102023,0,39,0,19,4,14,0,1
102025,0,36,1,19,5,15,0,1
102026,1,18,0,19,3,12,2,0
102027,0,47,0,19,4,9,12,0
102028,0,28,0,19,5,12,8,0
102029,1,22,0,19,4,9,1,0
102030,0,38,1,19,4,9,7,0
102031,0,34,1,19,4,9,6,0
102032,0,39,0,19,1,9,9,0
102033,0,37,1,19,3,16,0,0
102034,0,49,1,11,3,13,1,1
102035,1,46,3,19,4,12,1,0
102037,0,49,1,19,5,15,0,1
102038,1,22,0,19,5,12,2,0
102039,0,37,0,19,2,13,5,0
102040,0,37,1,19,5,11,6,1
102041,1,52,4,19,4,10,3,0
102042,0,28,0,19,4,13,1,0
102043,1,41,2,19,1,12,4,0
102044,0,40,1,19,4,9,8,0
102045,0,22,0,19,3,13,1,0
102046,0,65,1,19,4,9,3,0
102047,0,42,1,19,3,13,12,1
102048,1,31,2,19,4,9,7,0
102049,0,46,0,19,2,12,3,0
102050,1,32,2,19,4,13,1,0
102051,1,59,5,19,5,9,2,0
102052,1,49,2,19,3,9,2,0
102053,0,53,1,19,4,9,5,0
102054,1,22,0,19,3,9,2,0
102056,0,29,1,19,4,9,8,0
102057,1,36,2,19,4,9,2,0
102058,1,45,2,19,4,12,2,0
102059,0,37,1,19,4,7,6,0
102060,0,25,0,19,5,9,9,0
102061,1,50,4,19,5,9,4,0
102062,0,59,1,19,4,9,6,1
102063,1,26,0,19,2,12,12,0
102064,0,41,0,19,2,13,9,0
102065,0,34,1,19,4,12,8,0
102066,1,46,0,19,3,12,2,0
102067,0,49,1,19,3,12,4,0
102068,1,50,1,19,4,10,0,1
102069,0,30,1,19,4,9,6,0
102070,0,28,0,19,1,13,3,0
102071,0,48,1,19,4,13,3,0
102072,0,27,1,19,4,9,2,0
102073,0,19,0,19,4,12,4,0
102074,1,33,2,19,5,9,2,0
102075,0,67,1,19,2,9,3,1
102076,0,35,1,19,5,13,1,1
102077,0,43,2,19,2,13,1,1
102078,1,28,0,19,4,15,0,0
102079,0,50,1,19,2,9,11,0
102080,0,49,1,19,2,16,0,0
102081,0,29,0,19,4,9,3,0
102082,0,52,1,19,1,6,8,1
102083,0,45,1,19,3,14,3,1
102084,0,52,1,19,4,13,0,1
102085,0,47,4,19,5,9,8,0
102086,0,49,1,19,4,12,2,1
102087,0,50,1,19,1,12,3,1
102088,1,60,5,19,4,9,7,0
102089,0,19,0,19,4,12,3,0
102090,0,54,0,19,1,9,1,0
102091,0,34,1,12,1,10,8,0
102092,0,23,0,19,4,13,0,0
102093,0,59,0,19,2,10,8,0
102094,0,22,3,18,5,5,4,0
102095,0,27,0,19,4,10,8,0
102096,1,47,2,19,2,9,4,0
102097,0,67,1,19,2,14,3,1
102098,0,47,1,19,3,13,1,1
102099,0,20,0,19,3,12,10,0
102100,1,20,0,19,3,9,4,0
102101,0,43,1,19,2,14,0,1
102102,0,43,2,19,3,9,8,0
102104,0,31,1,18,4,9,0,0
102105,0,62,1,9,2,9,10,0
102107,0,61,1,19,4,8,8,0
102108,0,22,0,19,5,9,9,0
102109,1,20,0,19,4,12,4,0
102110,0,36,1,19,2,9,1,0
102111,1,29,0,19,4,13,0,0
102112,1,25,1,19,3,11,2,1
102113,0,63,1,19,4,9,10,0
102114,1,42,2,19,3,13,0,0
102115,1,20,0,19,4,12,2,0
102116,0,58,0,19,4,9,1,0
102118,1,45,2,19,4,9,2,0
102119,0,27,0,19,3,12,3,0
102120,0,45,1,19,2,14,2,0
102121,0,32,0,19,5,7,8,0
102122,1,43,0,18,4,3,7,0
102123,0,32,1,19,4,9,5,1
102124,0,32,1,15,5,12,9,1
102125,0,43,4,19,5,12,10,0
102126,0,17,0,19,2,6,10,0
102127,0,49,1,19,4,12,1,1
102128,1,49,2,19,5,9,4,0
102129,0,30,1,10,4,13,8,1
102130,0,26,1,19,2,12,4,0
102131,0,62,1,19,2,9,10,1
102132,1,26,0,19,4,13,0,0
102133,0,61,1,19,1,9,5,1
102134,0,18,0,19,4,6,10,0
102135,0,27,0,19,5,9,7,0
102136,1,21,0,18,4,12,2,0
102137,0,20,0,19,3,12,1,0
102138,0,35,0,19,4,9,4,0
102139,0,52,1,19,2,9,1,1
102140,0,44,1,19,5,9,6,0
102141,1,48,2,19,4,11,10,1
102142,0,47,1,19,3,16,0,1
102143,1,30,0,19,4,9,2,0
102144,0,75,3,19,4,12,8,0
102145,0,29,0,18,4,9,2,0
102146,0,28,0,19,2,9,8,0
102147,0,46,0,19,1,13,3,0
102148,0,31,1,19,4,9,6,0
102149,0,28,3,19,4,9,7,0
102150,0,50,1,19,2,9,3,1
102151,1,68,0,19,2,9,1,0
102152,0,72,1,16,4,9,10,0
102153,1,25,0,19,4,12,3,0
102154,0,25,0,19,4,13,10,0
102155,1,43,0,19,3,9,2,1
102156,0,42,1,19,4,9,1,0
102157,0,34,0,19,2,12,1,0
102158,1,62,5,19,4,12,4,0
102159,0,27,1,19,2,12,8,0
102160,0,48,1,19,4,9,4,0
102161,0,34,1,19,1,14,0,1
102162,1,30,1,19,2,10,2,0
102163,1,35,0,19,1,13,0,0
102164,1,34,0,19,5,9,3,0
102165,1,45,1,19,2,12,2,1
102166,1,33,2,19,4,12,12,0
102167,0,36,1,19,4,12,11,1
102168,0,27,0,19,5,9,6,0
102169,0,59,1,19,2,15,1,0
102170,0,46,1,19,4,9,7,0
102172,0,52,0,19,5,12,2,0
102173,0,43,1,19,5,9,8,1
102174,0,20,0,19,4,12,8,0
102175,0,46,2,17,4,13,7,0
102176,1,64,5,19,4,9,2,0
102177,0,54,1,19,4,14,3,1
102178,1,27,0,10,3,3,1,0
102179,0,44,1,17,4,9,9,0
102180,1,63,1,19,4,9,1,0
102181,0,23,0,19,2,9,1,0
102182,0,51,1,19,3,12,2,1
102183,0,47,1,19,2,12,0,0
102184,0,51,1,19,3,14,1,1
102185,0,32,1,19,2,9,4,0
102186,0,28,1,19,4,6,7,0
102187,0,22,0,19,4,9,0,0
102188,1,36,1,19,4,13,3,1
102190,0,57,1,19,2,12,3,1
102191,0,33,1,19,5,9,2,0
102192,1,25,0,19,3,9,1,0
102193,1,43,1,19,4,9,4,0
102194,1,72,2,15,1,7,2,0
102195,0,41,1,19,3,9,7,0
102196,0,37,1,19,4,15,0,1
102197,0,27,1,19,2,12,8,0
102198,1,38,1,19,5,12,10,0
102199,0,19,0,19,4,9,9,0
102200,0,36,1,19,2,9,8,0
102202,0,29,1,19,4,12,8,1
102203,0,61,1,17,3,14,8,0
102204,0,30,1,19,3,12,1,1
102205,0,50,1,18,3,11,2,0
102206,0,22,1,19,3,12,9,0
102207,0,22,0,19,3,9,4,0
102208,1,17,0,19,2,6,1,0
102209,1,60,3,19,4,9,4,0
102210,1,53,1,19,4,14,2,1
102211,0,22,0,19,1,8,5,0
102212,0,43,1,19,4,13,7,1
102213,0,28,0,19,4,9,7,0
102214,0,69,1,19,2,13,0,1
102215,0,28,1,19,4,12,7,1
102216,0,24,1,19,4,7,1,0
102217,0,35,2,19,2,9,5,0
102218,0,30,0,10,3,10,2,0
102219,0,69,1,19,5,13,10,1
102220,0,45,2,19,3,12,8,1
102221,0,47,1,19,3,13,12,1
102222,0,47,1,19,4,13,1,1
102223,0,33,2,19,4,8,8,0
102224,0,80,1,15,4,9,10,0
102225,0,24,0,19,5,12,0,0
102226,0,34,1,19,2,12,5,0
102228,0,33,0,19,5,9,8,1
102229,1,24,1,18,5,9,10,0
102230,0,52,1,19,4,16,0,1
102231,0,30,4,19,4,12,6,0
102232,0,48,1,19,3,12,8,1
102233,0,35,1,19,4,9,9,0
102234,1,35,0,19,4,13,4,0
102235,0,27,1,19,3,13,3,0
102236,1,24,1,19,4,9,10,0
102237,0,28,0,19,4,15,0,0
102238,1,19,0,19,4,12,10,0
102239,0,42,1,19,2,9,3,1
102240,0,49,1,19,5,4,7,0
102241,1,22,1,14,4,12,1,0
102242,0,32,1,19,5,14,3,1
102243,1,31,1,19,4,9,2,1
102244,1,24,1,4,5,12,2,0
102245,1,37,2,19,2,11,0,0
102246,0,36,0,19,5,13,3,1
102247,0,42,1,19,3,15,0,1
102248,0,41,1,19,4,12,8,1
102249,0,40,1,19,3,9,1,1
102250,0,33,1,19,4,13,0,1
102251,1,37,2,19,4,12,4,0
102252,1,57,5,19,4,9,2,0
102253,0,51,1,19,2,9,7,0
102254,0,47,4,19,5,14,12,1
102255,1,29,0,19,1,9,4,0
102256,0,23,0,19,3,12,2,0
102257,0,47,1,19,4,13,1,1
102258,1,90,0,19,3,5,2,0
102259,0,39,2,19,5,12,4,0
102260,1,28,2,19,5,12,8,0
102261,0,35,1,19,2,9,1,0
102262,0,31,1,19,4,12,8,0
102264,0,36,1,19,4,13,2,0
102265,0,22,0,19,3,12,10,0
102266,0,41,1,19,1,14,0,1
102267,0,58,1,19,5,9,3,1
102268,1,30,0,19,4,12,2,0
102271,0,31,1,19,3,12,5,1
102272,0,24,0,17,4,9,8,0
102274,1,64,5,19,4,7,10,0
